Lower Case,Remove Stop Words,Stem,Max Features,N-gram Range,TF,TFIDF,Accuracy,Macro Precision,Macro Recall,Macro F1-Score,Functional-Method Precision,Functional-Method Recall,Functional-Method F1-Score,Functional-Method Support,Functional-Module Precision,Functional-Module Recall,Functional-Module F1-Score,Functional-Module Support,Functional-Inline Precision,Functional-Inline Recall,Functional-Inline F1-Score,Functional-Inline Support,Code Precision,Code Recall,Code F1-Score,Code Support,IDE Precision,IDE Recall,IDE F1-Score,IDE Support,General Precision,General Recall,General F1-Score,General Support,Notice Precision,Notice Recall,Notice F1-Score,Notice Support,ToDo Precision,ToDo Recall,ToDo F1-Score,ToDo Support
TRUE,FALSE,FALSE,1000,(1 2),FALSE,TRUE,94.80032436,0.892975307,0.866512906,0.870843717,0.968579683,0.950488388,0.959387519,274.7,0.851465954,0.876479076,0.863043974,98.8,0.869386055,0.916233766,0.891986166,154,0.66,0.491666667,0.510238095,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.999260626,0.999629628,270.6,0.804322586,0.721387755,0.75933241,49.9,0.991789007,0.977168367,0.984296436,48.2
TRUE,FALSE,FALSE,1000,(1 3),FALSE,FALSE,95.18308318,0.893646005,0.884943672,0.883659667,0.972347216,0.943570007,0.957682671,274.7,0.817402819,0.919016698,0.865088152,98.8,0.909947711,0.937012987,0.923214468,154,0.633333333,0.616666667,0.591904762,3.3,0.995395426,0.999418605,0.99739128,171.7,1,0.998891622,0.999444785,270.6,0.824741534,0.679428571,0.743939217,49.9,0.996,0.985544218,0.990612,48.2
TRUE,FALSE,FALSE,1000,(1 3),TRUE,FALSE,95.16441776,0.897953235,0.89008347,0.888592354,0.971989612,0.953036496,0.962322765,274.7,0.84416355,0.893671408,0.867307249,98.8,0.903586938,0.925974026,0.914471436,154,0.7,0.658333333,0.64047619,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.771852228,0.727428571,0.747498507,49.9,0.993777778,0.964710884,0.978784043,48.2
TRUE,FALSE,FALSE,1000,(1 3),FALSE,TRUE,94.7162472,0.890012148,0.875550656,0.875324545,0.969767045,0.950483079,0.959917343,274.7,0.849162891,0.867336632,0.857086926,98.8,0.868348732,0.918181818,0.892414856,154,0.653333333,0.583333333,0.56452381,3.3,0.997684501,0.999418605,0.998545659,171.7,1,0.999260626,0.999629628,270.6,0.787928346,0.715387755,0.748309359,49.9,0.99387234,0.971003401,0.982168777,48.2
TRUE,FALSE,TRUE,1000,(1 1),FALSE,FALSE,94.96824352,0.886851351,0.878848046,0.879432774,0.966769396,0.941742535,0.953938711,274.7,0.803456214,0.90883323,0.852059824,98.8,0.914422687,0.932467532,0.923182494,154,0.586666667,0.583333333,0.572142857,3.3,0.995385459,0.998833809,0.997098011,171.7,0.999632353,0.998890256,0.999259938,270.6,0.836602186,0.685306122,0.751314214,49.9,0.99187585,0.981377551,0.986466146,48.2
TRUE,FALSE,TRUE,1000,(1 1),TRUE,FALSE,95.0244227,0.899838591,0.868825136,0.875407396,0.96610617,0.949388188,0.957569102,274.7,0.829129356,0.893671408,0.85965183,98.8,0.90444046,0.925974026,0.914910731,154,0.71,0.491666667,0.535,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.798742652,0.721469388,0.757228522,49.9,0.992034314,0.970918367,0.981020348,48.2
TRUE,FALSE,TRUE,1000,(1 1),FALSE,TRUE,94.97765026,0.901660536,0.865790686,0.877653727,0.967628427,0.945013935,0.956095549,274.7,0.824094547,0.893712637,0.857347521,98.8,0.891847128,0.924025974,0.907558758,154,0.7,0.45,0.533333333,3.3,0.995408373,0.998252414,0.996809734,171.7,0.999632353,0.998890256,0.999259938,270.6,0.838673458,0.743428571,0.786640783,49.9,0.996,0.973001701,0.984184198,48.2
TRUE,FALSE,TRUE,1000,(1 2),FALSE,FALSE,95.09899731,0.896375783,0.881730782,0.88354783,0.968213827,0.941743862,0.954621806,274.7,0.811949056,0.913883735,0.858951156,98.8,0.912084736,0.935064935,0.923113039,154,0.65,0.591666667,0.59047619,3.3,0.99597346,0.999418605,0.997681135,171.7,1,0.999260626,0.999629628,270.6,0.838868517,0.689346939,0.755381018,49.9,0.993916667,0.983460884,0.988528666,48.2
TRUE,FALSE,TRUE,1000,(1 2),TRUE,FALSE,95.00563534,0.894062502,0.89279973,0.887494182,0.969753053,0.951937624,0.960651112,274.7,0.84609532,0.880478252,0.861942108,98.8,0.894651794,0.918831169,0.906307847,154,0.671666667,0.683333333,0.63452381,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.778299634,0.741469388,0.757759942,49.9,0.993777778,0.968835034,0.980889999,48.2
TRUE,FALSE,TRUE,1000,(1 2),FALSE,TRUE,94.59501338,0.888690806,0.862206345,0.865335748,0.96915726,0.944295952,0.956433256,274.7,0.826466352,0.884549577,0.854169189,98.8,0.874363051,0.911688312,0.892373805,154,0.653333333,0.466666667,0.485238095,3.3,0.997687784,0.998837209,0.99825408,171.7,1,0.998890256,0.9994441,270.6,0.798812996,0.713428571,0.752412135,49.9,0.989705674,0.979294218,0.984361322,48.2
TRUE,FALSE,TRUE,1000,(1 3),FALSE,FALSE,95.16435679,0.896630603,0.883562985,0.885183936,0.968549735,0.942841407,0.955368426,274.7,0.8189882,0.909853638,0.86132417,98.8,0.913748475,0.935064935,0.923990801,154,0.651666667,0.591666667,0.593095238,3.3,0.994817391,0.999418605,0.997101425,171.7,1,0.998891622,0.999444785,270.6,0.831357693,0.707306122,0.762617975,49.9,0.993916667,0.983460884,0.988528666,48.2
TRUE,FALSE,TRUE,1000,(1 3),TRUE,FALSE,95.18308318,0.896741343,0.896754984,0.891890297,0.971888441,0.952659589,0.962063378,274.7,0.847985262,0.893712637,0.869491198,98.8,0.902252542,0.918181818,0.909868884,154,0.68,0.691666667,0.650714286,3.3,0.998255775,0.998252414,0.998249009,171.7,1,0.999260626,0.999629628,270.6,0.783780956,0.749387755,0.765137566,49.9,0.989767765,0.970918367,0.979968424,48.2
TRUE,FALSE,TRUE,1000,(1 3),FALSE,TRUE,94.85643387,0.891857551,0.862179211,0.867643669,0.973547095,0.943929662,0.958410201,274.7,0.826315928,0.901721295,0.861821777,98.8,0.884888464,0.915584416,0.899884958,154,0.66,0.433333333,0.477857143,3.3,0.998259175,0.999418605,0.998835509,171.7,1,0.998890256,0.9994441,270.6,0.802144073,0.727387755,0.761608681,49.9,0.989705674,0.977168367,0.983286986,48.2
